##Databases: KEGG PATHWAY, Gene Ontology
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
positive regulation of protein ubiquitination	Gene Ontology	GO:0031398	4	74	0.0119668671197	0.278005674292	ENSMUSG00000041135|ENSMUSG00000054252|ENSMUSG00000017146|ENSMUSG00000036273	http://amigo.geneontology.org/amigo/term/GO:0031398
kinase activity	Gene Ontology	GO:0016301	14	608	0.0119913987045	0.278005674292	ENSMUSG00000073563|ENSMUSG00000036273|ENSMUSG00000025648|ENSMUSG00000039145|ENSMUSG00000003810|ENSMUSG00000054252|ENSMUSG00000026274|ENSMUSG00000026596|ENSMUSG00000028926|ENSMUSG00000002409|ENSMUSG00000028680|ENSMUSG00000050890|ENSMUSG00000036737|ENSMUSG00000041135	http://amigo.geneontology.org/amigo/term/GO:0016301
negative regulation of hydrogen peroxide-induced cell death	Gene Ontology	GO:1903206	2	13	0.0121958091788	0.278005674292	ENSMUSG00000025140|ENSMUSG00000036273	http://amigo.geneontology.org/amigo/term/GO:1903206
pre-mRNA binding	Gene Ontology	GO:0036002	2	13	0.0121958091788	0.278005674292	ENSMUSG00000024268|ENSMUSG00000037296	http://amigo.geneontology.org/amigo/term/GO:0036002
snRNA binding	Gene Ontology	GO:0017069	2	13	0.0121958091788	0.278005674292	ENSMUSG00000037275|ENSMUSG00000043372	http://amigo.geneontology.org/amigo/term/GO:0017069
MAP kinase kinase activity	Gene Ontology	GO:0004708	2	13	0.0121958091788	0.278005674292	ENSMUSG00000002948|ENSMUSG00000036273	http://amigo.geneontology.org/amigo/term/GO:0004708
myofibril	Gene Ontology	GO:0030016	3	41	0.013550255352	0.294104659384	ENSMUSG00000038170|ENSMUSG00000019467|ENSMUSG00000035458	http://amigo.geneontology.org/amigo/term/GO:0030016
DNA-binding transcription factor inhibitor activity	Gene Ontology	GO:0140416	2	14	0.0138347329203	0.294104659384	ENSMUSG00000036867|ENSMUSG00000037583	http://amigo.geneontology.org/amigo/term/GO:0140416
toll-like receptor 4 signaling pathway	Gene Ontology	GO:0034142	2	14	0.0138347329203	0.294104659384	ENSMUSG00000025017|ENSMUSG00000041135	http://amigo.geneontology.org/amigo/term/GO:0034142
histone methyltransferase activity (H3-K4 specific)	Gene Ontology	GO:0042800	2	14	0.0138347329203	0.294104659384	ENSMUSG00000056770|ENSMUSG00000006307	http://amigo.geneontology.org/amigo/term/GO:0042800
negative regulation of protein processing	Gene Ontology	GO:0010955	2	14	0.0138347329203	0.294104659384	ENSMUSG00000026249|ENSMUSG00000036273	http://amigo.geneontology.org/amigo/term/GO:0010955
phosphatidylinositol-3,4,5-trisphosphate binding	Gene Ontology	GO:0005547	3	42	0.0143987850417	0.302694458877	ENSMUSG00000004508|ENSMUSG00000041801|ENSMUSG00000032812	http://amigo.geneontology.org/amigo/term/GO:0005547
transforming growth factor beta receptor signaling pathway	Gene Ontology	GO:0007179	4	79	0.0147583746313	0.306844448378	ENSMUSG00000041378|ENSMUSG00000024232|ENSMUSG00000036867|ENSMUSG00000024696	http://amigo.geneontology.org/amigo/term/GO:0007179
cilium movement	Gene Ontology	GO:0003341	3	43	0.0152768041409	0.313251387118	ENSMUSG00000040040|ENSMUSG00000019027|ENSMUSG00000039963	http://amigo.geneontology.org/amigo/term/GO:0003341
response to radiation	Gene Ontology	GO:0009314	2	15	0.0155632295926	0.313251387118	ENSMUSG00000026072|ENSMUSG00000028680	http://amigo.geneontology.org/amigo/term/GO:0009314
synapse maturation	Gene Ontology	GO:0060074	2	15	0.0155632295926	0.313251387118	ENSMUSG00000026596|ENSMUSG00000035863	http://amigo.geneontology.org/amigo/term/GO:0060074
Rho GTPase binding	Gene Ontology	GO:0017048	3	44	0.0161844193894	0.322325489314	ENSMUSG00000056214|ENSMUSG00000066406|ENSMUSG00000036273	http://amigo.geneontology.org/amigo/term/GO:0017048
extrinsic apoptotic signaling pathway	Gene Ontology	GO:0097191	3	45	0.0171217215039	0.325695555345	ENSMUSG00000004637|ENSMUSG00000024778|ENSMUSG00000097328	http://amigo.geneontology.org/amigo/term/GO:0097191
integral component of peroxisomal membrane	Gene Ontology	GO:0005779	2	16	0.01737907289	0.325695555345	ENSMUSG00000018733|ENSMUSG00000029047	http://amigo.geneontology.org/amigo/term/GO:0005779
negative regulation of phosphatidylinositol 3-kinase signaling	Gene Ontology	GO:0014067	2	16	0.01737907289	0.325695555345	ENSMUSG00000034614|ENSMUSG00000026249	http://amigo.geneontology.org/amigo/term/GO:0014067
regulation of cholesterol metabolic process	Gene Ontology	GO:0090181	2	16	0.01737907289	0.325695555345	ENSMUSG00000031982|ENSMUSG00000032193	http://amigo.geneontology.org/amigo/term/GO:0090181
protease binding	Gene Ontology	GO:0002020	5	127	0.0174329259648	0.325695555345	ENSMUSG00000020044|ENSMUSG00000039176|ENSMUSG00000032193|ENSMUSG00000026072|ENSMUSG00000024778	http://amigo.geneontology.org/amigo/term/GO:0002020
phosphatidylinositol-3-phosphate binding	Gene Ontology	GO:0032266	3	46	0.0180887856334	0.325695555345	ENSMUSG00000030231|ENSMUSG00000041801|ENSMUSG00000071715	http://amigo.geneontology.org/amigo/term/GO:0032266
calcium-dependent protein binding	Gene Ontology	GO:0048306	4	85	0.0186112773624	0.325695555345	ENSMUSG00000029484|ENSMUSG00000035458|ENSMUSG00000074457|ENSMUSG00000026580	http://amigo.geneontology.org/amigo/term/GO:0048306
mitochondrial inner membrane	Gene Ontology	GO:0005743	10	399	0.0188907433967	0.325695555345	ENSMUSG00000039176|ENSMUSG00000062373|ENSMUSG00000009876|ENSMUSG00000036273|ENSMUSG00000057103|ENSMUSG00000022299|ENSMUSG00000020544|ENSMUSG00000015337|ENSMUSG00000037363|ENSMUSG00000020832	http://amigo.geneontology.org/amigo/term/GO:0005743
response to calcium ion	Gene Ontology	GO:0051592	3	47	0.0190856718063	0.325695555345	ENSMUSG00000000568|ENSMUSG00000074457|ENSMUSG00000004347	http://amigo.geneontology.org/amigo/term/GO:0051592
lateral element	Gene Ontology	GO:0000800	2	17	0.0192800751578	0.325695555345	ENSMUSG00000036928|ENSMUSG00000017146	http://amigo.geneontology.org/amigo/term/GO:0000800
positive regulation of receptor recycling	Gene Ontology	GO:0001921	2	17	0.0192800751578	0.325695555345	ENSMUSG00000032812|ENSMUSG00000057530	http://amigo.geneontology.org/amigo/term/GO:0001921
positive regulation of telomere capping	Gene Ontology	GO:1904355	2	17	0.0192800751578	0.325695555345	ENSMUSG00000000568|ENSMUSG00000002948	http://amigo.geneontology.org/amigo/term/GO:1904355
protein kinase C signaling	Gene Ontology	GO:0070528	2	17	0.0192800751578	0.325695555345	ENSMUSG00000031785|ENSMUSG00000030470	http://amigo.geneontology.org/amigo/term/GO:0070528
exploration behavior	Gene Ontology	GO:0035640	2	17	0.0192800751578	0.325695555345	ENSMUSG00000026596|ENSMUSG00000036273	http://amigo.geneontology.org/amigo/term/GO:0035640
histone lysine methylation	Gene Ontology	GO:0034968	2	17	0.0192800751578	0.325695555345	ENSMUSG00000071350|ENSMUSG00000006307	http://amigo.geneontology.org/amigo/term/GO:0034968
regulation of osteoclast differentiation	Gene Ontology	GO:0045670	2	17	0.0192800751578	0.325695555345	ENSMUSG00000054252|ENSMUSG00000000134	http://amigo.geneontology.org/amigo/term/GO:0045670
protein autophosphorylation	Gene Ontology	GO:0046777	6	182	0.0206017130542	0.339773839926	ENSMUSG00000073563|ENSMUSG00000036273|ENSMUSG00000054252|ENSMUSG00000026274|ENSMUSG00000002409|ENSMUSG00000036737	http://amigo.geneontology.org/amigo/term/GO:0046777
inflammatory response	Gene Ontology	GO:0006954	9	347	0.0208889866645	0.339773839926	ENSMUSG00000039145|ENSMUSG00000046908|ENSMUSG00000026580|ENSMUSG00000030470|ENSMUSG00000062585|ENSMUSG00000037872|ENSMUSG00000030760|ENSMUSG00000026072|ENSMUSG00000026070	http://amigo.geneontology.org/amigo/term/GO:0006954
pharyngeal system development	Gene Ontology	GO:0060037	2	18	0.0212640868072	0.339773839926	ENSMUSG00000022941|ENSMUSG00000057530	http://amigo.geneontology.org/amigo/term/GO:0060037
NAD(P)+ nucleosidase activity	Gene Ontology	GO:0050135	2	18	0.0212640868072	0.339773839926	ENSMUSG00000026072|ENSMUSG00000026070	http://amigo.geneontology.org/amigo/term/GO:0050135
NAD+ nucleotidase, cyclic ADP-ribose generating	Gene Ontology	GO:0061809	2	18	0.0212640868072	0.339773839926	ENSMUSG00000026072|ENSMUSG00000026070	http://amigo.geneontology.org/amigo/term/GO:0061809
establishment of endothelial barrier	Gene Ontology	GO:0061028	2	18	0.0212640868072	0.339773839926	ENSMUSG00000046470|ENSMUSG00000032125	http://amigo.geneontology.org/amigo/term/GO:0061028
regulation of transcription, DNA-templated	Gene Ontology	GO:0006355	20	1056	0.0213705533569	0.339773839926	ENSMUSG00000046470|ENSMUSG00000006307|ENSMUSG00000046658|ENSMUSG00000037583|ENSMUSG00000079317|ENSMUSG00000032515|ENSMUSG00000018983|ENSMUSG00000053178|ENSMUSG00000036867|ENSMUSG00000000134|ENSMUSG00000024137|ENSMUSG00000026638|ENSMUSG00000039699|ENSMUSG00000049764|ENSMUSG00000022010|ENSMUSG00000029135|ENSMUSG00000029634|ENSMUSG00000055053|ENSMUSG00000031431|ENSMUSG00000028496	http://amigo.geneontology.org/amigo/term/GO:0006355
establishment or maintenance of cell polarity	Gene Ontology	GO:0007163	3	50	0.0222556451846	0.350305237591	ENSMUSG00000050357|ENSMUSG00000056214|ENSMUSG00000022438	http://amigo.geneontology.org/amigo/term/GO:0007163
ubiquitin-protein transferase activity	Gene Ontology	GO:0004842	7	240	0.0230311940922	0.350305237591	ENSMUSG00000027300|ENSMUSG00000036503|ENSMUSG00000038784|ENSMUSG00000022517|ENSMUSG00000017146|ENSMUSG00000029634|ENSMUSG00000018733	http://amigo.geneontology.org/amigo/term/GO:0004842
bicellular tight junction	Gene Ontology	GO:0005923	5	137	0.02308169686	0.350305237591	ENSMUSG00000056214|ENSMUSG00000030064|ENSMUSG00000041378|ENSMUSG00000018569|ENSMUSG00000017417	http://amigo.geneontology.org/amigo/term/GO:0005923
platelet formation	Gene Ontology	GO:0030220	2	19	0.0233289957381	0.350305237591	ENSMUSG00000030159|ENSMUSG00000056724	http://amigo.geneontology.org/amigo/term/GO:0030220
epithelial cilium movement involved in extracellular fluid movement	Gene Ontology	GO:0003351	2	19	0.0233289957381	0.350305237591	ENSMUSG00000019027|ENSMUSG00000039963	http://amigo.geneontology.org/amigo/term/GO:0003351
sister chromatid cohesion	Gene Ontology	GO:0007062	2	19	0.0233289957381	0.350305237591	ENSMUSG00000036928|ENSMUSG00000067567	http://amigo.geneontology.org/amigo/term/GO:0007062
immunoglobulin production	Gene Ontology	GO:0002377	2	19	0.0233289957381	0.350305237591	ENSMUSG00000024778|ENSMUSG00000022901	http://amigo.geneontology.org/amigo/term/GO:0002377
cytoplasmic microtubule organization	Gene Ontology	GO:0031122	3	52	0.0245185302388	0.353198421187	ENSMUSG00000040040|ENSMUSG00000021182|ENSMUSG00000028680	http://amigo.geneontology.org/amigo/term/GO:0031122
phosphatase binding	Gene Ontology	GO:0019902	3	52	0.0245185302388	0.353198421187	ENSMUSG00000023764|ENSMUSG00000003810|ENSMUSG00000048707	http://amigo.geneontology.org/amigo/term/GO:0019902
sperm axoneme assembly	Gene Ontology	GO:0007288	2	20	0.0254727267708	0.353198421187	ENSMUSG00000040040|ENSMUSG00000019027	http://amigo.geneontology.org/amigo/term/GO:0007288
regulation of ossification	Gene Ontology	GO:0030278	2	20	0.0254727267708	0.353198421187	ENSMUSG00000028641|ENSMUSG00000054252	http://amigo.geneontology.org/amigo/term/GO:0030278
filopodium assembly	Gene Ontology	GO:0046847	2	20	0.0254727267708	0.353198421187	ENSMUSG00000037509|ENSMUSG00000031937	http://amigo.geneontology.org/amigo/term/GO:0046847
phosphatidylinositol-5-phosphate binding	Gene Ontology	GO:0010314	2	20	0.0254727267708	0.353198421187	ENSMUSG00000030231|ENSMUSG00000041801	http://amigo.geneontology.org/amigo/term/GO:0010314
seminiferous tubule development	Gene Ontology	GO:0072520	2	20	0.0254727267708	0.353198421187	ENSMUSG00000031785|ENSMUSG00000034329	http://amigo.geneontology.org/amigo/term/GO:0072520
nuclear outer membrane	Gene Ontology	GO:0005640	2	20	0.0254727267708	0.353198421187	ENSMUSG00000054150|ENSMUSG00000001964	http://amigo.geneontology.org/amigo/term/GO:0005640
ceramide metabolic process	Gene Ontology	GO:0006672	2	20	0.0254727267708	0.353198421187	ENSMUSG00000030760|ENSMUSG00000037049	http://amigo.geneontology.org/amigo/term/GO:0006672
sulfotransferase activity	Gene Ontology	GO:0008146	3	54	0.0269009572582	0.353198421187	ENSMUSG00000034118|ENSMUSG00000030711|ENSMUSG00000034612	http://amigo.geneontology.org/amigo/term/GO:0008146
immune response	Gene Ontology	GO:0006955	7	249	0.0272850683949	0.353198421187	ENSMUSG00000022901|ENSMUSG00000097328|ENSMUSG00000059327|ENSMUSG00000032690|ENSMUSG00000036867|ENSMUSG00000022148|ENSMUSG00000024778	http://amigo.geneontology.org/amigo/term/GO:0006955
zinc ion binding	Gene Ontology	GO:0008270	14	679	0.0274054858226	0.353198421187	ENSMUSG00000027318|ENSMUSG00000006307|ENSMUSG00000057530|ENSMUSG00000004947|ENSMUSG00000000901|ENSMUSG00000018733|ENSMUSG00000046949|ENSMUSG00000033948|ENSMUSG00000071350|ENSMUSG00000017146|ENSMUSG00000030760|ENSMUSG00000017764|ENSMUSG00000073400|ENSMUSG00000037049	http://amigo.geneontology.org/amigo/term/GO:0008270
early endosome to late endosome transport	Gene Ontology	GO:0045022	2	21	0.0276932410852	0.353198421187	ENSMUSG00000038195|ENSMUSG00000058486	http://amigo.geneontology.org/amigo/term/GO:0045022
circulatory system development	Gene Ontology	GO:0072359	2	21	0.0276932410852	0.353198421187	ENSMUSG00000020319|ENSMUSG00000026596	http://amigo.geneontology.org/amigo/term/GO:0072359
cholesterol transport	Gene Ontology	GO:0030301	2	21	0.0276932410852	0.353198421187	ENSMUSG00000031982|ENSMUSG00000032193	http://amigo.geneontology.org/amigo/term/GO:0030301
Golgi-associated vesicle	Gene Ontology	GO:0005798	2	21	0.0276932410852	0.353198421187	ENSMUSG00000032589|ENSMUSG00000036273	http://amigo.geneontology.org/amigo/term/GO:0005798
phosphatidylinositol binding	Gene Ontology	GO:0035091	4	97	0.0280460703889	0.353198421187	ENSMUSG00000013611|ENSMUSG00000071715|ENSMUSG00000036882|ENSMUSG00000026274	http://amigo.geneontology.org/amigo/term/GO:0035091
cholesterol metabolic process	Gene Ontology	GO:0008203	4	97	0.0280460703889	0.353198421187	ENSMUSG00000059743|ENSMUSG00000031982|ENSMUSG00000032193|ENSMUSG00000037049	http://amigo.geneontology.org/amigo/term/GO:0008203
DNA-binding transcription activator activity, RNA polymerase II-specific	Gene Ontology	GO:0001228	11	489	0.0281769711424	0.353198421187	ENSMUSG00000039158|ENSMUSG00000046470|ENSMUSG00000055053|ENSMUSG00000032515|ENSMUSG00000018983|ENSMUSG00000029135|ENSMUSG00000000134|ENSMUSG00000049532|ENSMUSG00000022010|ENSMUSG00000036867|ENSMUSG00000024137	http://amigo.geneontology.org/amigo/term/GO:0001228
regulation of smoothened signaling pathway	Gene Ontology	GO:0008589	2	22	0.0299885356674	0.353198421187	ENSMUSG00000038593|ENSMUSG00000023965	http://amigo.geneontology.org/amigo/term/GO:0008589
regulation of dendritic spine morphogenesis	Gene Ontology	GO:0061001	2	22	0.0299885356674	0.353198421187	ENSMUSG00000036882|ENSMUSG00000036273	http://amigo.geneontology.org/amigo/term/GO:0061001
positive regulation of transcription, DNA-templated	Gene Ontology	GO:0045893	13	624	0.0306068674897	0.353198421187	ENSMUSG00000046470|ENSMUSG00000006307|ENSMUSG00000037583|ENSMUSG00000002409|ENSMUSG00000029135|ENSMUSG00000000134|ENSMUSG00000026638|ENSMUSG00000024232|ENSMUSG00000022109|ENSMUSG00000029634|ENSMUSG00000002948|ENSMUSG00000017146|ENSMUSG00000028496	http://amigo.geneontology.org/amigo/term/GO:0045893
protein localization	Gene Ontology	GO:0008104	4	100	0.0307765119528	0.353198421187	ENSMUSG00000056724|ENSMUSG00000040040|ENSMUSG00000027799|ENSMUSG00000035863	http://amigo.geneontology.org/amigo/term/GO:0008104
heart development	Gene Ontology	GO:0007507	7	256	0.0309421293609	0.353198421187	ENSMUSG00000046470|ENSMUSG00000040040|ENSMUSG00000066406|ENSMUSG00000057530|ENSMUSG00000030470|ENSMUSG00000022941|ENSMUSG00000035458	http://amigo.geneontology.org/amigo/term/GO:0007507
apoptotic process	Gene Ontology	GO:0006915	12	561	0.0312035370787	0.353198421187	ENSMUSG00000057530|ENSMUSG00000097328|ENSMUSG00000032515|ENSMUSG00000041801|ENSMUSG00000073599|ENSMUSG00000054252|ENSMUSG00000028680|ENSMUSG00000026389|ENSMUSG00000004637|ENSMUSG00000041135|ENSMUSG00000028416|ENSMUSG00000024778	http://amigo.geneontology.org/amigo/term/GO:0006915
ankyrin binding	Gene Ontology	GO:0030506	2	23	0.0323566427654	0.353198421187	ENSMUSG00000006574|ENSMUSG00000021752	http://amigo.geneontology.org/amigo/term/GO:0030506
peroxisome organization	Gene Ontology	GO:0007031	2	23	0.0323566427654	0.353198421187	ENSMUSG00000018733|ENSMUSG00000029047	http://amigo.geneontology.org/amigo/term/GO:0007031
positive regulation of cell death	Gene Ontology	GO:0010942	3	59	0.0333774758949	0.353198421187	ENSMUSG00000041135|ENSMUSG00000031722|ENSMUSG00000024778	http://amigo.geneontology.org/amigo/term/GO:0010942
neuron projection terminus	Gene Ontology	GO:0044306	2	24	0.0347956293512	0.353198421187	ENSMUSG00000032290|ENSMUSG00000032589	http://amigo.geneontology.org/amigo/term/GO:0044306
inhibitory synapse	Gene Ontology	GO:0060077	2	24	0.0347956293512	0.353198421187	ENSMUSG00000032589|ENSMUSG00000034275	http://amigo.geneontology.org/amigo/term/GO:0060077
telencephalon development	Gene Ontology	GO:0021537	2	24	0.0347956293512	0.353198421187	ENSMUSG00000038593|ENSMUSG00000040040	http://amigo.geneontology.org/amigo/term/GO:0021537
response to interleukin-1	Gene Ontology	GO:0070555	2	24	0.0347956293512	0.353198421187	ENSMUSG00000041135|ENSMUSG00000026072	http://amigo.geneontology.org/amigo/term/GO:0070555
R-SMAD binding	Gene Ontology	GO:0070412	2	24	0.0347956293512	0.353198421187	ENSMUSG00000075600|ENSMUSG00000036867	http://amigo.geneontology.org/amigo/term/GO:0070412
trans-Golgi network	Gene Ontology	GO:0005802	6	208	0.0356596214954	0.353198421187	ENSMUSG00000040040|ENSMUSG00000032812|ENSMUSG00000036273|ENSMUSG00000027799|ENSMUSG00000003452|ENSMUSG00000032589	http://amigo.geneontology.org/amigo/term/GO:0005802
axoneme	Gene Ontology	GO:0005930	4	105	0.0356640282453	0.353198421187	ENSMUSG00000062591|ENSMUSG00000040040|ENSMUSG00000019027|ENSMUSG00000039963	http://amigo.geneontology.org/amigo/term/GO:0005930
heparin binding	Gene Ontology	GO:0008201	5	155	0.0359736230841	0.353198421187	ENSMUSG00000031785|ENSMUSG00000020323|ENSMUSG00000043822|ENSMUSG00000026249|ENSMUSG00000026580	http://amigo.geneontology.org/amigo/term/GO:0008201
regulation of metabolic process	Gene Ontology	GO:0019222	2	25	0.0373035965911	0.353198421187	ENSMUSG00000062585|ENSMUSG00000045569	http://amigo.geneontology.org/amigo/term/GO:0019222
post-anal tail morphogenesis	Gene Ontology	GO:0036342	2	25	0.0373035965911	0.353198421187	ENSMUSG00000054252|ENSMUSG00000034612	http://amigo.geneontology.org/amigo/term/GO:0036342
negative regulation of Rho protein signal transduction	Gene Ontology	GO:0035024	2	25	0.0373035965911	0.353198421187	ENSMUSG00000044562|ENSMUSG00000026596	http://amigo.geneontology.org/amigo/term/GO:0035024
iron-sulfur cluster binding	Gene Ontology	GO:0051536	3	63	0.0390884667323	0.353198421187	ENSMUSG00000056310|ENSMUSG00000016756|ENSMUSG00000034329	http://amigo.geneontology.org/amigo/term/GO:0051536
response to tumor necrosis factor	Gene Ontology	GO:0034612	2	26	0.0398786793235	0.353198421187	ENSMUSG00000002948|ENSMUSG00000015337	http://amigo.geneontology.org/amigo/term/GO:0034612
negative regulation of proteolysis	Gene Ontology	GO:0045861	2	26	0.0398786793235	0.353198421187	ENSMUSG00000020044|ENSMUSG00000026249	http://amigo.geneontology.org/amigo/term/GO:0045861
cell projection assembly	Gene Ontology	GO:0030031	2	26	0.0398786793235	0.353198421187	ENSMUSG00000022438|ENSMUSG00000009621	http://amigo.geneontology.org/amigo/term/GO:0030031
cochlea development	Gene Ontology	GO:0090102	2	26	0.0398786793235	0.353198421187	ENSMUSG00000040040|ENSMUSG00000054252	http://amigo.geneontology.org/amigo/term/GO:0090102
positive regulation of NIK/NF-kappaB signaling	Gene Ontology	GO:1901224	3	64	0.0405888448599	0.353198421187	ENSMUSG00000059327|ENSMUSG00000022901|ENSMUSG00000026070	http://amigo.geneontology.org/amigo/term/GO:1901224
positive regulation of cell adhesion	Gene Ontology	GO:0045785	3	64	0.0405888448599	0.353198421187	ENSMUSG00000031785|ENSMUSG00000000134|ENSMUSG00000026580	http://amigo.geneontology.org/amigo/term/GO:0045785
steroid metabolic process	Gene Ontology	GO:0008202	4	111	0.0420882695885	0.353198421187	ENSMUSG00000059743|ENSMUSG00000031982|ENSMUSG00000032193|ENSMUSG00000030711	http://amigo.geneontology.org/amigo/term/GO:0008202
adenylate cyclase-activating G protein-coupled receptor signaling pathway	Gene Ontology	GO:0007189	4	111	0.0420882695885	0.353198421187	ENSMUSG00000031785|ENSMUSG00000062585|ENSMUSG00000044017|ENSMUSG00000045569	http://amigo.geneontology.org/amigo/term/GO:0007189
thyroid hormone receptor binding	Gene Ontology	GO:0046966	2	27	0.042519045544	0.353198421187	ENSMUSG00000037583|ENSMUSG00000022109	http://amigo.geneontology.org/amigo/term/GO:0046966
positive regulation of cell cycle arrest	Gene Ontology	GO:0071158	2	27	0.042519045544	0.353198421187	ENSMUSG00000030888|ENSMUSG00000017146	http://amigo.geneontology.org/amigo/term/GO:0071158
protein localization to organelle	Gene Ontology	GO:0033365	2	27	0.042519045544	0.353198421187	ENSMUSG00000030470|ENSMUSG00000003452	http://amigo.geneontology.org/amigo/term/GO:0033365
leukocyte cell-cell adhesion	Gene Ontology	GO:0007159	2	27	0.042519045544	0.353198421187	ENSMUSG00000030830|ENSMUSG00000026580	http://amigo.geneontology.org/amigo/term/GO:0007159
positive regulation of ERK1 and ERK2 cascade	Gene Ontology	GO:0070374	6	218	0.0429468859655	0.353198421187	ENSMUSG00000036564|ENSMUSG00000054252|ENSMUSG00000026596|ENSMUSG00000046949|ENSMUSG00000002948|ENSMUSG00000041135	http://amigo.geneontology.org/amigo/term/GO:0070374
lateral plasma membrane	Gene Ontology	GO:0016328	3	66	0.043675769462	0.353198421187	ENSMUSG00000041378|ENSMUSG00000018569|ENSMUSG00000027860	http://amigo.geneontology.org/amigo/term/GO:0016328
bone development	Gene Ontology	GO:0060348	3	66	0.043675769462	0.353198421187	ENSMUSG00000066406|ENSMUSG00000028641|ENSMUSG00000054252	http://amigo.geneontology.org/amigo/term/GO:0060348
peptidyl-serine phosphorylation	Gene Ontology	GO:0018105	5	164	0.0438001067158	0.353198421187	ENSMUSG00000073563|ENSMUSG00000002409|ENSMUSG00000039145|ENSMUSG00000003810|ENSMUSG00000036273	http://amigo.geneontology.org/amigo/term/GO:0018105
metalloendopeptidase activity	Gene Ontology	GO:0004222	4	113	0.0443655477158	0.353198421187	ENSMUSG00000027318|ENSMUSG00000000901|ENSMUSG00000057530|ENSMUSG00000043822	http://amigo.geneontology.org/amigo/term/GO:0004222
cell surface receptor signaling pathway	Gene Ontology	GO:0007166	5	165	0.0447279063841	0.353198421187	ENSMUSG00000031785|ENSMUSG00000030159|ENSMUSG00000030830|ENSMUSG00000044017|ENSMUSG00000022901	http://amigo.geneontology.org/amigo/term/GO:0007166
positive regulation of phosphatidylinositol 3-kinase activity	Gene Ontology	GO:0043552	2	28	0.0452228958976	0.353198421187	ENSMUSG00000009621|ENSMUSG00000054252	http://amigo.geneontology.org/amigo/term/GO:0043552
phosphatidylinositol-3,5-bisphosphate binding	Gene Ontology	GO:0080025	2	28	0.0452228958976	0.353198421187	ENSMUSG00000030231|ENSMUSG00000041801	http://amigo.geneontology.org/amigo/term/GO:0080025
negative regulation of transforming growth factor beta receptor signaling pathway	Gene Ontology	GO:0030512	3	67	0.0452620004972	0.353198421187	ENSMUSG00000024232|ENSMUSG00000034612|ENSMUSG00000036867	http://amigo.geneontology.org/amigo/term/GO:0030512
phosphatidylinositol-3,4-bisphosphate binding	Gene Ontology	GO:0043325	2	29	0.0479884631783	0.353198421187	ENSMUSG00000004508|ENSMUSG00000041801	http://amigo.geneontology.org/amigo/term/GO:0043325
lysosome	Gene Ontology	GO:0005764	9	406	0.0479959337996	0.353198421187	ENSMUSG00000029408|ENSMUSG00000004347|ENSMUSG00000036273|ENSMUSG00000054252|ENSMUSG00000038195|ENSMUSG00000041658|ENSMUSG00000036503|ENSMUSG00000032193|ENSMUSG00000037049	http://amigo.geneontology.org/amigo/term/GO:0005764
oxidation-reduction process	Gene Ontology	GO:0055114	11	538	0.0495352412596	0.353198421187	ENSMUSG00000056310|ENSMUSG00000016756|ENSMUSG00000009876|ENSMUSG00000026389|ENSMUSG00000028713|ENSMUSG00000019102|ENSMUSG00000046949|ENSMUSG00000004637|ENSMUSG00000028641|ENSMUSG00000025140|ENSMUSG00000071715	http://amigo.geneontology.org/amigo/term/GO:0055114
intracellular signal transduction	Gene Ontology	GO:0035556	9	409	0.049804302409	0.353198421187	ENSMUSG00000032109|ENSMUSG00000037509|ENSMUSG00000036273|ENSMUSG00000026274|ENSMUSG00000004508|ENSMUSG00000009621|ENSMUSG00000066406|ENSMUSG00000036737|ENSMUSG00000003810	http://amigo.geneontology.org/amigo/term/GO:0035556
peptidyl-threonine phosphorylation	Gene Ontology	GO:0018107	3	70	0.0501897153873	0.353198421187	ENSMUSG00000002409|ENSMUSG00000036737|ENSMUSG00000036273	http://amigo.geneontology.org/amigo/term/GO:0018107
basolateral plasma membrane	Gene Ontology	GO:0016323	6	227	0.05025122786	0.353198421187	ENSMUSG00000036564|ENSMUSG00000032204|ENSMUSG00000006574|ENSMUSG00000032193|ENSMUSG00000018569|ENSMUSG00000035863	http://amigo.geneontology.org/amigo/term/GO:0016323
positive regulation of neuron projection development	Gene Ontology	GO:0010976	5	171	0.0505408898523	0.353198421187	ENSMUSG00000039145|ENSMUSG00000028641|ENSMUSG00000036564|ENSMUSG00000026249|ENSMUSG00000026596	http://amigo.geneontology.org/amigo/term/GO:0010976
regulation of synaptic transmission, glutamatergic	Gene Ontology	GO:0051966	2	30	0.0508140118356	0.353198421187	ENSMUSG00000026249|ENSMUSG00000036273	http://amigo.geneontology.org/amigo/term/GO:0051966
cortical cytoskeleton	Gene Ontology	GO:0030863	2	30	0.0508140118356	0.353198421187	ENSMUSG00000006574|ENSMUSG00000023216	http://amigo.geneontology.org/amigo/term/GO:0030863
viral process	Gene Ontology	GO:0016032	2	30	0.0508140118356	0.353198421187	ENSMUSG00000032109|ENSMUSG00000003452	http://amigo.geneontology.org/amigo/term/GO:0016032
negative regulation of gene expression	Gene Ontology	GO:0010629	8	349	0.0516249039931	0.353198421187	ENSMUSG00000022708|ENSMUSG00000041378|ENSMUSG00000037583|ENSMUSG00000000568|ENSMUSG00000054252|ENSMUSG00000032193|ENSMUSG00000071350|ENSMUSG00000034329	http://amigo.geneontology.org/amigo/term/GO:0010629
